,data,hora,sexo,idade,funcao,categoria,compra,valor
209,2014-03-17,,m,c,b,a,,
210,2014-03-17,,m,c,a,a,s,
211,2014-03-17,,f,c,b,a,,
212,2014-03-17,,m,b,a,b,,
213,2014-03-18,,m,b,d,g,,
214,2014-03-18,,m,c,b,k,,
215,2014-03-18,,f,c,a,k,,
216,2014-03-18,,f,b,a,b,,
217,2014-03-18,,m,c,b,b,,
218,2014-03-18,,m,b,a,i,,
219,2014-03-18,,f,d,d,j,,
220,2014-03-18,,m,c,b,a,,
221,2014-03-18,,m,c,b,i,s,
222,2014-03-18,,f,b,a,b,,
223,2014-03-18,,f,b,a,b,,
224,2014-03-18,,m,b,a,a,,
225,2014-03-18,,m,b,a,i,,
226,2014-03-19,,m,c,a,a,s,
227,2014-03-19,,f,c,a,a,s,
228,2014-03-19,,m,b,b,a,,
229,2014-03-19,,f,c,a,a,,
230,2014-03-19,,m,b,a,d,,
231,2014-03-19,,m,c,a,d,,
232,2014-03-20,,f,c,b,a,,
233,2014-03-20,,m,d,b,b,s,
234,2014-03-20,,f,d,b,a,,
235,2014-03-20,,f,d,b,a,,
236,2014-03-20,,m,c,b,i,,
237,2014-03-20,,m,b,a,a,,
238,2014-03-20,,m,b,a,a,,
239,2014-03-20,,m,b,a,a,,
240,2014-03-20,,m,b,a,i,,
241,2014-03-20,,m,b,a,i,,
242,2014-03-20,,m,b,a,k,,
243,2014-03-21,,m,a,a,b,,
244,2014-03-21,,m,b,b,a,s,
245,2014-03-21,,m,c,d,a,,
246,2014-03-21,,m,c,a,g,,
247,2014-03-21,,f,b,a,a,,
248,2014-03-21,,f,c,a,a,s,
249,2014-03-21,,f,c,a,a,s,
250,2014-03-21,,m,b,a,k,,
251,2014-03-24,,f,c,b,a,,
252,2014-03-24,,f,c,b,b,,
253,2014-03-24,,m,c,d,d,,
254,2014-03-24,,m,b,a,a,,
255,2014-03-24,,f,c,a,a,,
256,2014-03-24,,m,c,a,a,,
257,2014-03-24,,m,b,b,a,,
258,2014-03-24,,m,c,b,a,,
259,2014-03-24,,f,c,a,d,,
260,2014-03-24,,m,b,a,f,,
261,2014-03-24,,m,c,a,a,,
262,2014-03-24,,m,c,a,d,,
263,2014-03-24,,f,c,b,g,,
264,2014-03-24,,m,b,a,b,,
265,2014-03-24,,m,b,a,a,,
266,2014-03-24,,m,c,d,d,,
267,2014-03-24,,f,c,b,a,,
268,2014-03-25,,m,b,b,a,,
269,2014-03-25,,m,c,d,e,,
270,2014-03-25,,m,c,b,k,,
271,2014-03-25,,f,c,b,b,,
272,2014-03-25,,m,b,b,i,,
273,2014-03-25,,m,c,b,b,,
274,2014-03-25,,f,c,b,b,,
275,2014-03-25,,m,c,b,a,s,
276,2014-03-25,,f,c,a,a,,
277,2014-03-29,11:35,f,c,a,a,,
278,2014-03-29,12:40,m,c,a,b,,
279,2014-03-31,9:39,f,c,b,b,,
280,2014-03-31,12:39,m,c,b,a,,
281,2014-03-31,12:43,m,c,b,a,s,
282,2014-03-31,12:43,m,c,b,a,s,
283,2014-03-31,12:46,m,c,b,a,s,
284,2014-03-31,13:35,f,c,b,e,,
285,2014-03-31,14:9,m,c,c,a,,
286,2014-03-31,14:39,m,c,b,b,,
287,2014-03-31,14:55,f,d,d,d,s,"R$ 90,00"
288,2014-03-31,16:16,m,b,b,a,s,"R$ 36,00"
289,2014-03-31,18:22,m,b,a,a,,
290,2014-03-31,18:33,f,b,a,a,,
291,2014-03-31,18:54,m,b,a,g,,
292,2014-03-31,19:27,m,b,a,a,,
293,2014-03-31,19:48,f,c,a,a,,
294,2014-04-01,11:32,m,c,b,a,,
295,2014-04-01,11:44,f,b,a,a,s,"R$ 72,00"
296,2014-04-01,12:51,m,c,b,a,s,"R$ 62,00"
297,2014-04-01,12:58,f,b,a,a,s,"R$ 40,00"
298,2014-04-01,13:2,f,c,b,a,,
299,2014-04-01,13:17,f,c,b,b,,
300,2014-04-01,14:8,m,c,b,i,,
301,2014-04-01,14:23,f,c,b,a,s,"R$ 30,00"
302,2014-04-01,14:41,m,c,b,i,,
303,2014-04-01,17:32,f,c,b,a,s,"R$ 25,00"
304,2014-04-01,17:45,m,c,a,i,,
305,2014-04-01,18:45,m,c,b,a,,
306,2014-04-01,18:46,m,c,b,a,,
307,2014-04-01,18:58,f,c,a,f,,
308,2014-04-01,20:34,f,b,a,b,,
309,2014-04-02,9:42,m,c,d,a,s,"R$ 40,00"
310,2014-04-02,9:51,f,b,a,a,s,"R$ 24,00"
311,2014-04-02,9:53,m,b,a,i,,
312,2014-04-02,11:22,m,c,b,e,,
313,2014-04-02,11:23,m,c,a,i,,
314,2014-04-02,11:37,f,c,a,g,,
315,2014-04-02,13:0,f,b,a,b,,
316,2014-04-02,13:33,f,c,c,a,s,"R$ 36,00"
317,2014-04-02,14:1,f,c,a,b,,
318,2014-04-02,14:53,m,c,b,a,,
319,2014-04-02,15:25,m,b,a,a,s,"R$ 24,00"
320,2014-04-02,16:9,f,c,b,b,,
321,2014-04-02,16:10,m,c,a,a,s,"R$ 20,00"
322,2014-04-02,16:13,f,b,a,k,,
323,2014-04-02,16:39,m,c,b,k,,
324,2014-04-02,16:40,m,c,a,k,,
325,2014-04-02,18:22,f,c,b,a,,
326,2014-04-02,18:22,m,c,d,d,s,"R$ 44,00"
327,2014-04-02,19:4,m,b,a,a,,
328,2014-04-02,19:29,m,c,a,a,s,"R$ 16,00"
329,2014-04-02,19:30,m,a,a,a,s,"R$ 36,00"
330,2014-04-03,13:31,m,c,b,a,s,"R$ 230,00"
331,2014-04-03,14:7,m,c,b,d,s,"R$ 20,00"
332,2014-04-03,15:13,m,c,b,a,,
333,2014-04-03,15:46,f,b,d,b,,
334,2014-04-03,16:15,m,c,a,k,,
335,2014-04-03,16:42,m,c,b,i,,
336,2014-04-03,17:27,m,c,a,b,,
337,2014-04-03,17:32,m,d,d,k,,
338,2014-04-04,21:8,m,c,c,d,s,"R$ 45,00"
339,2014-04-04,10:6,f,c,d,a,s,"R$ 20,00"
340,2014-04-04,10:16,f,c,d,d,,
341,2014-04-04,11:9,f,c,a,i,,
342,2014-04-04,12:0,m,c,a,a,,
343,2014-04-04,12:50,f,c,d,d,,
344,2014-04-04,13:30,m,c,d,b,,
345,2014-04-04,14:6,m,c,b,b,,
346,2014-04-04,14:44,m,c,d,g,s,"R$ 135,00"
347,2014-04-04,16:43,m,b,a,i,,
348,2014-04-04,16:44,m,c,b,g,,
349,2014-04-04,17:32,m,b,a,a,s,"R$ 24,00"
350,2014-04-04,18:3,m,c,d,b,s,"R$ 80,00"
351,2014-04-05,21:2,f,c,b,g,,
352,2014-04-05,12:35,m,c,d,a,s,"R$ 30,00"
353,2014-04-07,11:24,m,b,a,b,,
354,2014-04-07,12:0,f,c,b,d,,
355,2014-04-07,12:15,m,c,b,a,s,"R$ 28,00"
356,2014-04-07,12:19,m,c,a,b,,
357,2014-04-07,13:33,f,b,b,a,,
358,2014-04-07,14:47,m,c,b,k,,
359,2014-04-07,15:46,f,b,a,a,s,"R$ 24,00"
360,2014-04-07,16:8,m,c,b,a,s,"R$ 63,00"
361,2014-04-07,16:10,m,c,d,g,s,"R$ 135,00"
362,2014-04-07,18:10,f,b,b,a,,
363,2014-04-07,19:32,m,c,a,j,,
364,2014-04-07,20:12,f,b,a,a,s,"R$ 540,00"
365,2014-04-08,21:19,f,b,a,d,s,"R$ 36,00"
366,2014-04-08,10:1,m,c,b,i,,
367,2014-04-08,11:31,m,b,b,i,,
368,2014-04-08,11:43,m,c,b,a,s,"R$ 24,00"
369,2014-04-08,12:26,m,c,b,a,s,"R$ 20,00"
370,2014-04-08,12:47,f,c,b,a,s,"R$ 120,00"
371,2014-04-08,12:47,m,c,b,b,,
372,2014-04-08,13:10,m,c,b,g,,
373,2014-04-08,13:24,m,c,b,d,,
374,2014-04-08,13:26,m,b,a,a,,
375,2014-04-08,13:39,m,c,b,a,s,"R$ 16,00"
376,2014-04-08,13:50,m,c,d,i,s,"R$ 150,00"
377,2014-04-08,14:54,m,c,b,a,,
378,2014-04-08,14:56,m,b,b,a,,
379,2014-04-08,15:21,m,d,b,b,s,"R$ 120,00"
380,2014-04-08,15:22,m,c,b,b,s,"R$ 80,00"
381,2014-04-08,18:10,f,c,a,h,,
382,2014-04-08,18:17,f,b,d,b,,
383,2014-04-08,19:13,f,b,a,a,s,"R$ 65,00"
384,2014-04-08,20:23,f,c,d,a,s,"R$ 26,00"
385,2014-04-08,20:39,f,b,a,a,s,"R$ 8,00"
386,2014-04-08,20:40,m,b,a,g,,
387,2014-04-09,21:7,m,b,a,g,s,"R$ 135,00"
388,2014-04-09,13:20,m,c,b,g,s,"R$ 135,00"
389,2014-04-09,13:24,m,c,b,d,s,"R$ 70,00"
390,2014-04-09,14:49,m,c,d,k,,
391,2014-04-09,15:15,m,c,b,i,,
392,2014-04-09,16:28,f,b,a,a,s,"R$ 24,00"
393,2014-04-09,16:47,f,b,a,f,,
394,2014-04-09,18:40,m,b,a,a,,
395,2014-04-09,19:8,f,b,a,a,s,"R$ 20,00"
396,2014-04-09,19:19,f,b,a,b,,
397,2014-04-10,10:13,m,b,a,i,,
398,2014-04-10,11:19,f,c,d,a,s,"R$ 26,00"
399,2014-04-10,12:27,m,c,b,d,,
400,2014-04-10,12:34,m,c,b,a,s,"R$ 144,00"
401,2014-04-10,12:42,f,c,a,a,s,"R$ 25,00"
402,2014-04-10,13:4,m,c,b,a,s,"R$ 60,00"
403,2014-04-10,13:26,f,b,b,i,,
404,2014-04-10,13:33,m,b,b,i,,
405,2014-04-10,17:33,f,b,a,a,s,"R$ 36,00"
406,2014-04-10,17:34,m,b,a,k,,
407,2014-04-10,18:45,m,d,c,d,,
408,2014-04-10,19:7,f,c,a,a,s,"R$ 20,00"
409,2014-04-10,20:10,m,c,b,d,s,"R$ 173,00 "
410,2014-04-11,9:30,f,b,a,b,s,"R$ 90,00"
411,2014-04-11,10:10,f,d,b,a,s,"R$ 150,00"
412,2014-04-11,12:41,f,c,b,i,,
413,2014-04-11,12:49,f,c,a,a,s,"R$ 24,00"
414,2014-04-11,13:27,m,c,b,a,,
415,2014-04-11,14:37,m,c,b,a,,
416,2014-04-11,15:10,m,c,d,a,,
417,2014-04-11,15:16,f,b,a,a,s,"R$ 280,00"
418,2014-04-11,15:20,m,c,b,k,,
419,2014-04-11,17:43,m,c,b,a,s,"R$ 65,00"
420,2014-04-11,20:26,m,c,d,a,s,"R$ 75,00"
421,2014-04-11,20:27,m,c,d,a,,
422,2014-04-12,10:16,m,c,b,c,,
423,2014-04-14,10:37,m,c,b,a,,
424,2014-04-14,12:8,m,c,d,a,,
425,2014-04-14,12:56,m,c,a,g,s,"R$ 82,00"
426,2014-04-14,13:17,m,c,d,a,s,"R$ 8,00"
427,2014-04-14,13:31,m,d,b,g,s,"R$ 464,00"
428,2014-04-14,14:17,f,b,a,a,s,"R$ 24,00"
429,2014-04-14,14:57,f,c,b,a,,
430,2014-04-14,15:25,m,c,b,j,,
431,2014-04-14,18:23,f,c,b,a,s,"R$ 16,00"
432,2014-04-14,18:26,m,c,d,i,,
433,2014-04-14,18:28,f,b,b,g,,
434,2014-04-14,18:41,m,c,a,d,,
435,2014-04-14,18:56,m,b,a,a,s,"R$ 40,00"
436,2014-04-14,19:9,f,c,a,b,s,"R$ 80,00"
437,2014-04-14,19:47,f,b,b,a,s,"R$ 10,00"
438,2014-04-14,20:22,m,b,b,g,s,"R$ 135,00"
439,2014-04-14,20:38,m,b,a,a,,
440,2014-04-15,12:47,f,c,a,a,s,"R$ 110,00"
441,2014-04-15,13:3,f,c,a,d,s,"R$ 54,00"
442,2014-04-15,13:31,m,c,d,a,s,"R$ 55,00"
443,2014-04-15,13:34,m,b,a,e,,
444,2014-04-15,15:35,f,b,a,a,s,"R$ 280,00"
445,2014-04-15,15:36,m,c,a,g,s,"R$ 185,00"
446,2014-04-15,15:38,f,b,a,a,s,"R$ 560,00"
447,2014-04-15,15:51,f,c,d,d,s,"R$ 24,00"
448,2014-04-15,16:1,m,b,a,a,s,"R$ 26,00"
449,2014-04-15,16:7,m,c,b,i,,
450,2014-04-15,18:13,f,b,a,a,s,"R$ 24,00"
451,2014-04-15,18:31,m,b,a,a,s,"R$ 26,00"
452,2014-04-15,18:32,m,b,a,a,s,"R$ 24,00"
453,2014-04-15,18:53,m,b,a,a,s,"R$ 30,00"
454,2014-04-15,18:54,m,c,b,a,,
455,2014-04-15,19:45,m,c,d,d,s,"R$ 45,00"
456,2014-04-16,9:59,f,c,a,k,,
457,2014-04-16,12:6,f,b,b,a,,
458,2014-04-16,12:33,m,b,b,d,,
459,2014-04-16,13:52,m,c,c,k,,
460,2014-04-16,14:18,m,c,b,h,,
461,2014-04-16,15:23,m,c,b,a,,
462,2014-04-16,16:56,m,c,b,a,s,"R$ 165,00"
463,2014-04-16,17:3,m,c,b,g,s,"R$ 110,00"
464,2014-04-16,19:58,m,c,b,a,s,"R$ 48,00"
465,2014-04-17,21:10,m,c,a,i,s,"R$ 180,00"
466,2014-04-22,10:13,f,c,a,k,,
467,2014-04-22,10:41,m,d,d,k,,
468,2014-04-22,11:32,m,c,a,a,,
469,2014-04-22,12:29,m,b,a,a,,
470,2014-04-22,13:9,m,c,b,i,,
471,2014-04-22,13:22,f,c,b,k,,
472,2014-04-22,13:24,m,c,d,a,,
473,2014-04-22,13:38,m,c,a,b,s,"R$ 200,00"
474,2014-04-22,14:52,f,c,a,d,,
475,2014-04-22,17:23,m,c,b,i,,
476,2014-04-22,18:3,f,b,a,a,,
477,2014-04-22,18:28,m,c,b,a,s,"R$ 60,00"
478,2014-04-22,19:28,m,c,a,g,s,"R$ 135,00"
479,2014-04-22,19:47,m,b,a,a,s,"R$ 55,00"
480,2014-04-22,20:25,f,b,a,b,s,"R$ 119,00"
481,2014-04-22,20:47,f,b,a,a,,
482,2014-04-23,12:53,m,c,b,c,,
483,2014-04-23,13:16,m,c,b,a,,
484,2014-04-23,13:26,m,c,b,a,s,"R$ 20,00"
485,2014-04-23,14:53,f,c,b,b,s,"R$ 90,00"
486,2014-04-23,16:32,f,c,b,b,,
487,2014-04-23,16:59,f,c,d,d,,
488,2014-04-23,17:9,f,c,d,d,s,"R$ 54,00"
489,2014-04-23,18:51,f,c,b,b,,
490,2014-04-23,19:42,m,b,a,a,s,"R$ 60,00"
491,2014-04-23,20:19,f,b,b,b,s,"R$ 100,00"
492,2014-04-23,20:40,f,b,a,a,s,"R$ 72,00"
493,2014-04-24,11:8,m,c,b,a,s,"R$ 20,00"
494,2014-04-24,12:8,m,c,b,a,,
495,2014-04-24,13:3,f,d,d,a,s,"R$ 40,00"
496,2014-04-24,13:35,m,b,a,b,s,"R$ 90,00"
497,2014-04-24,14:55,m,d,b,d,,
498,2014-04-24,14:59,m,d,b,b,s,"R$ 130,00"
499,2014-04-24,16:55,m,b,a,g,,
500,2014-04-24,17:16,m,b,b,a,s,"R$ 65,00"
501,2014-04-24,17:17,f,b,b,a,,
502,2014-04-24,18:55,m,b,a,a,,
503,2014-04-24,19:5,m,c,a,a,,
504,2014-04-24,20:32,m,b,a,a,,
505,2014-04-25,21:17,m,c,d,a,,
506,2014-04-25,21:18,m,c,b,g,s,"R$ 20,00"
507,2014-04-25,11:48,f,c,d,k,,
508,2014-04-25,12:40,m,c,b,a,,
509,2014-04-25,12:47,m,c,b,a,s,"R$ 36,00"
510,2014-04-25,12:49,m,d,d,k,,
511,2014-04-25,13:13,m,c,b,g,s,"R$ 140,00"
512,2014-04-25,13:50,m,c,b,a,,
513,2014-04-25,13:51,m,c,d,f,,
514,2014-04-25,14:59,f,c,a,a,s,"R$ 75,00"
515,2014-04-25,15:31,m,c,b,a,s,"R$ 8,00"
516,2014-04-25,15:53,f,c,b,a,s,"R$ 280,00"
517,2014-04-25,15:54,f,c,b,a,s,"R$ 40,00"
518,2014-04-25,16:27,f,b,a,a,,
519,2014-04-25,18:11,m,b,a,b,,
520,2014-04-25,19:17,m,c,a,a,,
521,2014-04-25,19:30,m,b,a,k,,
522,2014-04-26,12:1,f,b,b,k,,
523,2014-04-28,11:33,f,b,a,b,,
524,2014-04-28,12:15,m,b,a,a,,
525,2014-04-28,12:26,m,c,a,a,s,"R$ 20,00"
526,2014-04-28,13:23,m,b,a,a,s,"R$ 24,00"
527,2014-04-28,14:30,m,c,b,b,,
528,2014-04-28,15:28,m,c,b,a,,
529,2014-04-28,15:31,m,c,d,j,,
530,2014-04-28,17:10,m,c,b,a,s,"R$ 279,00"
531,2014-04-28,17:11,m,b,a,a,s,"R$ 30,00"
532,2014-04-28,18:37,m,c,c,a,s,"R$ 72,00"
533,2014-04-28,19:9,m,c,a,b,,
534,2014-04-28,19:49,m,b,a,a,,
535,2014-04-29,21:7,m,b,a,c,s,"R$ 50,00"
536,2014-04-29,10:14,m,d,b,d,s,"R$ 420,00"
537,2014-04-29,11:14,m,c,b,d,s,"R$ 30,00"
538,2014-04-29,11:42,f,a,b,b,,
539,2014-04-29,16:19,m,b,b,c,,
540,2014-04-29,17:0,f,c,a,j,,
541,2014-04-29,18:58,f,b,a,d,s,"R$ 54,00"
542,2014-04-29,19:29,m,b,a,a,s,"R$ 20,00"
543,2014-04-29,20:35,m,c,d,a,s,"R$ 32,00"
544,2014-04-30,9:52,m,c,b,a,s,"R$ 26,00"
545,2014-04-30,10:10,m,b,a,a,s,"R$ 55,00"
546,2014-04-30,11:36,f,c,a,k,,
547,2014-04-30,12:22,f,b,a,a,,
548,2014-04-30,14:0,m,c,b,d,s,"R$ 54,00"
549,2014-04-30,15:31,m,c,a,a,s,"R$ 32,00"
550,2014-04-30,16:31,m,c,a,k,,
551,2014-04-30,17:38,m,b,a,a,,
552,2014-04-30,18:35,m,b,a,d,s,"R$ 110,00"
553,2014-04-30,20:59,f,b,a,a,s,"R$ 36,00"
554,2014-05-01,20:59,f,b,a,a,,
555,2014-05-02,12:38,f,c,a,a,,
556,2014-05-02,15:52,m,b,b,a,,
557,2014-05-02,17:5,m,d,b,a,s,"R$ 279,00"
558,2014-05-02,20:5,f,b,a,a,,
559,2014-05-02,20:5,m,c,d,i,,
560,2014-05-03,12:15,f,c,a,d,,
561,2014-05-05,11:28,m,c,d,h,,
562,2014-05-05,13:24,m,b,a,b,,
563,2014-05-05,14:13,f,b,a,a,,
564,2014-05-05,15:33,m,c,b,b,,
565,2014-05-05,15:52,m,c,d,a,,
566,2014-05-05,16:53,f,b,a,k,,
567,2014-05-05,17:38,f,b,a,a,,
568,2014-05-05,17:41,f,c,d,d,,
569,2014-05-05,18:50,f,b,a,a,s,"R$ 20,00"
570,2014-05-06,21:11,m,b,a,a,,
571,2014-05-06,21:23,m,b,a,f,s,"R$ 590,00"
572,2014-05-06,11:15,m,c,b,k,,
573,2014-05-06,11:35,m,d,b,g,,
574,2014-05-06,11:55,m,c,b,a,,
575,2014-05-06,12:14,m,c,b,a,s,"R$ 32,00"
576,2014-05-06,12:48,m,c,b,a,s,"R$ 20,00"
577,2014-05-06,14:12,m,c,b,a,,
578,2014-05-06,14:23,f,b,a,a,s,"R$ 10,00"
579,2014-05-06,14:49,f,c,a,d,s,"R$ 110,00"
