,data,hora,valor,FUNCAO_TRATADA,CATEGORIA_TRATADA,COMPROU,SEXO_TRATADO,IDADE_TRATADA
365,2014-04-08,21:19,36.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
368,2014-04-08,11:43,24.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
369,2014-04-08,12:26,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
370,2014-04-08,12:47,120.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
375,2014-04-08,13:39,16.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
376,2014-04-08,13:50,150.0,Outros,Games,Sim,Masculino,Entre 30 e 60
379,2014-04-08,15:21,120.0,Funcionario,Apple,Sim,Masculino,Maior de 60
380,2014-04-08,15:22,80.0,Funcionario,Apple,Sim,Masculino,Entre 30 e 60
383,2014-04-08,19:13,65.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
384,2014-04-08,20:23,26.0,Outros,Acessorios,Sim,Feminino,Entre 30 e 60
385,2014-04-08,20:39,8.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
387,2014-04-09,21:7,135.0,Aluno,Telecom,Sim,Masculino,Entre 18 e 30
388,2014-04-09,13:20,135.0,Funcionario,Telecom,Sim,Masculino,Entre 30 e 60
389,2014-04-09,13:24,70.0,Funcionario,Impressoras,Sim,Masculino,Entre 30 e 60
392,2014-04-09,16:28,24.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
395,2014-04-09,19:8,20.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
398,2014-04-10,11:19,26.0,Outros,Acessorios,Sim,Feminino,Entre 30 e 60
400,2014-04-10,12:34,144.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
401,2014-04-10,12:42,25.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
402,2014-04-10,13:4,60.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
405,2014-04-10,17:33,36.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
408,2014-04-10,19:7,20.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
409,2014-04-10,20:10,173.0,Funcionario,Impressoras,Sim,Masculino,Entre 30 e 60
410,2014-04-11,9:30,90.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
411,2014-04-11,10:10,150.0,Funcionario,Acessorios,Sim,Feminino,Maior de 60
413,2014-04-11,12:49,24.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
417,2014-04-11,15:16,280.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
419,2014-04-11,17:43,65.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
420,2014-04-11,20:26,75.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
425,2014-04-14,12:56,82.0,Aluno,Telecom,Sim,Masculino,Entre 30 e 60
426,2014-04-14,13:17,8.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
427,2014-04-14,13:31,464.0,Funcionario,Telecom,Sim,Masculino,Maior de 60
428,2014-04-14,14:17,24.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
431,2014-04-14,18:23,16.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
435,2014-04-14,18:56,40.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
436,2014-04-14,19:9,80.0,Aluno,Apple,Sim,Feminino,Entre 30 e 60
437,2014-04-14,19:47,10.0,Funcionario,Acessorios,Sim,Feminino,Entre 18 e 30
438,2014-04-14,20:22,135.0,Funcionario,Telecom,Sim,Masculino,Entre 18 e 30
440,2014-04-15,12:47,110.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
441,2014-04-15,13:3,54.0,Aluno,Impressoras,Sim,Feminino,Entre 30 e 60
442,2014-04-15,13:31,55.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
444,2014-04-15,15:35,280.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
445,2014-04-15,15:36,185.0,Aluno,Telecom,Sim,Masculino,Entre 30 e 60
446,2014-04-15,15:38,560.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
447,2014-04-15,15:51,24.0,Outros,Impressoras,Sim,Feminino,Entre 30 e 60
448,2014-04-15,16:1,26.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
450,2014-04-15,18:13,24.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
451,2014-04-15,18:31,26.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
452,2014-04-15,18:32,24.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
453,2014-04-15,18:53,30.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
455,2014-04-15,19:45,45.0,Outros,Impressoras,Sim,Masculino,Entre 30 e 60
462,2014-04-16,16:56,165.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
463,2014-04-16,17:3,110.0,Funcionario,Telecom,Sim,Masculino,Entre 30 e 60
464,2014-04-16,19:58,48.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
465,2014-04-17,21:10,180.0,Aluno,Games,Sim,Masculino,Entre 30 e 60
473,2014-04-22,13:38,200.0,Aluno,Apple,Sim,Masculino,Entre 30 e 60
477,2014-04-22,18:28,60.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
478,2014-04-22,19:28,135.0,Aluno,Telecom,Sim,Masculino,Entre 30 e 60
479,2014-04-22,19:47,55.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
480,2014-04-22,20:25,119.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
484,2014-04-23,13:26,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
485,2014-04-23,14:53,90.0,Funcionario,Apple,Sim,Feminino,Entre 30 e 60
488,2014-04-23,17:9,54.0,Outros,Impressoras,Sim,Feminino,Entre 30 e 60
490,2014-04-23,19:42,60.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
491,2014-04-23,20:19,100.0,Funcionario,Apple,Sim,Feminino,Entre 18 e 30
492,2014-04-23,20:40,72.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
493,2014-04-24,11:8,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
495,2014-04-24,13:3,40.0,Outros,Acessorios,Sim,Feminino,Maior de 60
496,2014-04-24,13:35,90.0,Aluno,Apple,Sim,Masculino,Entre 18 e 30
498,2014-04-24,14:59,130.0,Funcionario,Apple,Sim,Masculino,Maior de 60
500,2014-04-24,17:16,65.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
506,2014-04-25,21:18,20.0,Funcionario,Telecom,Sim,Masculino,Entre 30 e 60
509,2014-04-25,12:47,36.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
511,2014-04-25,13:13,140.0,Funcionario,Telecom,Sim,Masculino,Entre 30 e 60
514,2014-04-25,14:59,75.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
515,2014-04-25,15:31,8.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
516,2014-04-25,15:53,280.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
517,2014-04-25,15:54,40.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
525,2014-04-28,12:26,20.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
526,2014-04-28,13:23,24.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
530,2014-04-28,17:10,279.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
531,2014-04-28,17:11,30.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
532,2014-04-28,18:37,72.0,Professor,Acessorios,Sim,Masculino,Entre 30 e 60
535,2014-04-29,21:7,50.0,Aluno,Cameras,Sim,Masculino,Entre 18 e 30
536,2014-04-29,10:14,420.0,Funcionario,Impressoras,Sim,Masculino,Maior de 60
537,2014-04-29,11:14,30.0,Funcionario,Impressoras,Sim,Masculino,Entre 30 e 60
541,2014-04-29,18:58,54.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
542,2014-04-29,19:29,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
543,2014-04-29,20:35,32.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
544,2014-04-30,9:52,26.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
545,2014-04-30,10:10,55.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
548,2014-04-30,14:0,54.0,Funcionario,Impressoras,Sim,Masculino,Entre 30 e 60
549,2014-04-30,15:31,32.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
552,2014-04-30,18:35,110.0,Aluno,Impressoras,Sim,Masculino,Entre 18 e 30
553,2014-04-30,20:59,36.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
557,2014-05-02,17:5,279.0,Funcionario,Acessorios,Sim,Masculino,Maior de 60
569,2014-05-05,18:50,20.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
571,2014-05-06,21:23,590.0,Aluno,Softwares,Sim,Masculino,Entre 18 e 30
575,2014-05-06,12:14,32.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
576,2014-05-06,12:48,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
578,2014-05-06,14:23,10.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
579,2014-05-06,14:49,110.0,Aluno,Impressoras,Sim,Feminino,Entre 30 e 60
580,2014-05-06,15:50,80.0,Aluno,Games,Sim,Feminino,Entre 30 e 60
581,2014-05-06,18:55,48.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
585,2014-05-07,11:58,40.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
590,2014-05-07,13:12,10.0,Funcionario,Telecom,Sim,Masculino,Entre 30 e 60
591,2014-05-07,13:13,10.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
593,2014-05-07,14:24,62.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
594,2014-05-07,14:25,92.0,Funcionario,Acessorios,Sim,Masculino,Maior de 60
595,2014-05-07,14:30,20.0,Outros,Telecom,Sim,Masculino,Entre 30 e 60
596,2014-05-07,14:37,113.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
598,2014-05-07,15:53,24.0,Outros,Acessorios,Sim,Feminino,Entre 30 e 60
599,2014-05-07,15:54,100.0,Funcionario,Telecom,Sim,Masculino,Entre 30 e 60
600,2014-05-07,16:0,30.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
601,2014-05-07,16:0,20.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
602,2014-05-07,16:1,30.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
603,2014-05-07,16:30,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
604,2014-05-07,17:38,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
606,2014-05-08,21:19,96.0,Aluno,Impressoras,Sim,Masculino,Entre 18 e 30
607,2014-05-08,10:5,180.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
608,2014-05-08,10:19,320.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
609,2014-05-08,10:43,140.0,Outros,Apple,Sim,Feminino,Entre 30 e 60
612,2014-05-08,11:41,20.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
614,2014-05-08,11:52,20.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
615,2014-05-08,12:6,40.0,Outros,Acessorios,Sim,Feminino,Entre 30 e 60
617,2014-05-08,13:3,150.0,Outros,Acessorios,Sim,Feminino,Entre 30 e 60
620,2014-05-08,14:13,137.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
623,2014-05-08,14:36,75.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
626,2014-05-08,15:1,10.0,Outros,Acessorios,Sim,Masculino,Maior de 60
628,2014-05-08,15:47,62.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
634,2014-05-09,9:56,320.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
635,2014-05-09,9:57,24.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
636,2014-05-09,10:37,55.0,Outros,Acessorios,Sim,Feminino,Entre 30 e 60
638,2014-05-09,10:50,20.0,Outros,Acessorios,Sim,Feminino,Entre 30 e 60
643,2014-05-09,13:20,20.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
644,2014-05-09,13:49,90.0,Funcionario,Impressoras,Sim,Feminino,Entre 30 e 60
646,2014-05-09,14:47,20.0,Outros,Acessorios,Sim,Masculino,Maior de 60
649,2014-05-09,15:34,24.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
651,2014-05-09,16:6,55.0,Outros,Acessorios,Sim,Feminino,Maior de 60
652,2014-05-09,16:15,48.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
653,2014-05-09,17:23,16.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
654,2014-05-09,17:29,32.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
658,2014-05-10,11:48,180.0,Outros,Games,Sim,Masculino,Entre 18 e 30
659,2014-05-10,12:22,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
667,2014-05-12,9:40,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
670,2014-05-12,11:15,16.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
671,2014-05-12,11:18,10.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
678,2014-05-12,16:27,36.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
680,2014-05-12,18:56,75.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
681,2014-05-12,19:10,54.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
682,2014-05-12,19:11,40.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
687,2014-05-13,12:13,62.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
690,2014-05-13,13:19,45.0,Funcionario,Impressoras,Sim,Masculino,Entre 30 e 60
691,2014-05-13,13:21,62.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
695,2014-05-13,15:1,10.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
697,2014-05-13,17:44,70.0,Aluno,Impressoras,Sim,Feminino,Entre 30 e 60
698,2014-05-13,17:51,32.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
701,2014-05-13,18:47,80.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
702,2014-05-13,19:7,12.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
704,2014-05-14,10:12,145.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
707,2014-05-14,12:15,25.0,Funcionario,Apple,Sim,Masculino,Entre 30 e 60
709,2014-05-14,13:0,250.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
710,2014-05-14,13:11,30.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
712,2014-05-14,13:40,2.4,Outros,Apple,Sim,Feminino,Entre 30 e 60
713,2014-05-14,14:5,24.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
717,2014-05-14,20:14,190.0,Aluno,Apple,Sim,Masculino,Entre 30 e 60
719,2014-05-15,11:4,10.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
720,2014-05-15,12:18,150.0,Aluno,Apple,Sim,Masculino,Entre 18 e 30
721,2014-05-15,12:44,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
723,2014-05-15,13:31,54.0,Aluno,Impressoras,Sim,Feminino,Entre 30 e 60
727,2014-05-15,19:33,90.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
728,2014-05-15,20:30,24.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
730,2014-05-16,9:56,45.0,Funcionario,Impressoras,Sim,Masculino,Entre 30 e 60
735,2014-05-16,12:31,32.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
737,2014-05-16,14:53,150.0,Funcionario,Telecom,Sim,Masculino,Maior de 60
744,2014-05-16,19:42,65.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
745,2014-05-16,20:46,36.0,Funcionario,Telecom,Sim,Masculino,Entre 30 e 60
747,2014-05-19,10:13,24.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
750,2014-05-19,13:50,35.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
751,2014-05-19,15:7,320.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
753,2014-05-19,15:29,44.0,Aluno,Impressoras,Sim,Feminino,Entre 30 e 60
755,2014-05-19,17:14,60.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
757,2014-05-19,18:23,36.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
758,2014-05-19,19:19,40.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
768,2014-05-20,13:7,62.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
769,2014-05-20,13:32,45.0,Outros,Impressoras,Sim,Feminino,Entre 18 e 30
771,2014-05-20,16:27,24.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
773,2014-05-20,17:11,150.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
774,2014-05-20,17:14,299.0,Professor,Acessorios,Sim,Masculino,Entre 30 e 60
775,2014-05-20,17:32,150.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
776,2014-05-20,18:55,105.0,Professor,Impressoras,Sim,Masculino,Entre 30 e 60
777,2014-05-20,19:27,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
778,2014-05-20,19:58,90.0,Aluno,Apple,Sim,Feminino,Entre 18 e 30
779,2014-05-20,20:8,75.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
785,2014-05-21,16:14,367.0,Funcionario,Acessorios,Sim,Masculino,Maior de 60
787,2014-05-21,18:21,45.0,Aluno,Impressoras,Sim,Feminino,Entre 30 e 60
793,2014-05-22,16:52,90.0,Aluno,Apple,Sim,Feminino,Entre 30 e 60
796,2014-05-22,18:31,295.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
797,2014-05-23,21:4,80.0,Professor,Acessorios,Sim,Masculino,Entre 30 e 60
799,2014-05-23,17:58,194.0,Outros,Impressoras,Sim,Feminino,Entre 30 e 60
800,2014-05-23,18:41,1.724,Professor,Apple,Sim,Feminino,Entre 30 e 60
801,2014-05-23,18:43,41.0,Professor,Apple,Sim,Feminino,Entre 30 e 60
804,2014-05-24,12:1,25.0,Funcionario,Apple,Sim,Masculino,Entre 30 e 60
806,2014-05-26,10:47,80.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
809,2014-05-26,12:32,34.0,Funcionario,Impressoras,Sim,Feminino,Entre 30 e 60
811,2014-05-26,12:52,680.0,Funcionario,Outros,Sim,Feminino,Entre 30 e 60
812,2014-05-26,14:11,36.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
813,2014-05-26,14:41,44.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
817,2014-05-26,19:0,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
818,2014-05-26,19:24,10.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
819,2014-05-27,21:12,1694.0,Funcionario,Notebooks,Sim,Feminino,Entre 30 e 60
821,2014-05-27,10:50,24.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
822,2014-05-27,12:46,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
823,2014-05-27,13:34,26.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
826,2014-05-27,15:46,30.0,Aluno,Telecom,Sim,Masculino,Entre 18 e 30
827,2014-05-27,16:24,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
828,2014-05-27,16:25,48.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
831,2014-05-27,18:14,12.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
838,2014-05-28,12:58,24.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
839,2014-05-28,12:59,60.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
842,2014-05-28,15:24,62.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
844,2014-05-28,15:35,50.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
847,2014-05-29,20:59,470.0,Professor,Acessorios,Sim,Feminino,Entre 30 e 60
850,2014-05-29,11:3,36.0,Aluno,Acessorios,Sim,Feminino,Menor de 18
854,2014-05-29,12:33,55.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
858,2014-05-29,13:26,24.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
863,2014-05-29,16:23,70.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
864,2014-05-29,16:24,44.0,Outros,Impressoras,Sim,Masculino,Maior de 60
865,2014-05-29,16:25,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
867,2014-05-29,17:50,25.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
868,2014-05-29,19:1,8.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
869,2014-05-29,19:8,40.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
870,2014-05-30,12:8,48.0,Outros,Acessorios,Sim,Feminino,Maior de 60
874,2014-05-30,15:35,80.0,Funcionario,Apple,Sim,Feminino,Entre 18 e 30
875,2014-05-30,15:36,80.0,Funcionario,Apple,Sim,Masculino,Entre 30 e 60
878,2014-05-30,17:34,25.0,Outros,Acessorios,Sim,Feminino,Entre 18 e 30
880,2014-05-30,18:50,420.0,Funcionario,Impressoras,Sim,Masculino,Entre 30 e 60
881,2014-05-31,9:49,107.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
883,2014-05-31,12:17,60.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
887,2014-06-02,10:7,40.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
888,2014-06-02,10:8,25.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
892,2014-06-02,14:49,145.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
893,2014-06-02,16:59,36.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
896,2014-06-02,18:27,10.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
897,2014-06-02,18:40,20.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
898,2014-06-03,9:46,36.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
900,2014-06-03,12:12,189.0,Outros,Impressoras,Sim,Masculino,Entre 30 e 60
903,2014-06-03,13:10,20.0,Aluno,Acessorios,Sim,Feminino,Entre 30 e 60
905,2014-06-03,15:5,210.0,Professor,Acessorios,Sim,Masculino,Maior de 60
906,2014-06-03,15:55,320.0,Funcionario,Acessorios,Sim,Masculino,Maior de 60
908,2014-06-03,17:44,145.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
910,2014-06-03,19:5,48.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
911,2014-06-03,20:50,40.0,Professor,Acessorios,Sim,Masculino,Maior de 60
913,2014-06-04,11:35,10.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
917,2014-06-04,14:38,380.0,Aluno,Apple,Sim,Feminino,Entre 30 e 60
922,2014-06-04,15:31,35.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
923,2014-06-04,15:44,320.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
926,2014-06-04,16:10,90.0,Aluno,Apple,Sim,Feminino,Entre 30 e 60
928,2014-06-04,17:32,217.0,Aluno,Impressoras,Sim,Feminino,Entre 18 e 30
930,2014-06-04,18:44,45.0,Aluno,Impressoras,Sim,Masculino,Entre 30 e 60
931,2014-06-04,19:2,40.0,Outros,Impressoras,Sim,Masculino,Entre 30 e 60
932,2014-06-04,20:41,150.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
935,2014-06-05,11:31,215.0,Aluno,Games,Sim,Feminino,Entre 18 e 30
938,2014-06-05,13:22,92.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
941,2014-06-05,14:42,80.0,Outros,Apple,Sim,Masculino,Entre 30 e 60
943,2014-06-05,15:45,20.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
946,2014-06-05,17:57,150.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
948,2014-06-05,18:25,48.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
949,2014-06-05,19:42,45.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
